Id,field,age,type,year,month,date,temperature,dewpoint,windspeed,Soilwater_L1,Precipitation,temperature_b1,temperature_b2,temperature_b3,temperature_b4,temperature_b5,temperature_b6,temperature_b7,temperature_b8,temperature_b9,temperature_b10,temperature_b11,temperature_b12,dewpoint_b1,dewpoint_b2,dewpoint_b3,dewpoint_b4,dewpoint_b5,dewpoint_b6,dewpoint_b7,dewpoint_b8,dewpoint_b9,dewpoint_b10,dewpoint_b11,dewpoint_b12,windspeed_b1,windspeed_b2,windspeed_b3,windspeed_b4,windspeed_b5,windspeed_b6,windspeed_b7,windspeed_b8,windspeed_b9,windspeed_b10,windspeed_b11,windspeed_b12,Soilwater_L1_b1,Soilwater_L1_b2,Soilwater_L1_b3,Soilwater_L1_b4,Soilwater_L1_b5,Soilwater_L1_b6,Soilwater_L1_b7,Soilwater_L1_b8,Soilwater_L1_b9,Soilwater_L1_b10,Soilwater_L1_b11,Soilwater_L1_b12,Precipitation_b1,Precipitation_b2,Precipitation_b3,Precipitation_b4,Precipitation_b5,Precipitation_b6,Precipitation_b7,Precipitation_b8,Precipitation_b9,Precipitation_b10,Precipitation_b11,Precipitation_b12,Soilwater_L2,Soilwater_L3,Soilwater_L4
5243,0,27,5,2012,1,2012-01-01,27.485,22.956,2.0683,0.26706,409.01,29.923,29.149,29.64,29.255,27.929,26.867,27.035,26.616,25.965,25.978,25.852,25.775,21.477,22.168,21.883,22.501,23.286,23.523,24.076,24.9,24.528,24.304,24.05,23.954,2.65,2.3215,2.3207,2.2889,2.0728,1.8927,1.9929,1.7665,1.7745,1.8727,1.9486,1.9864,0.21709,0.24334,0.22267,0.24997,0.28785,0.32176,0.32748,0.35877,0.36572,0.3579,0.35676,0.3433,161.4,168.96,248.46,94.524,189.26,152.31,98.758,326.23,381.49,538.52,573.15,438.87,,,
5244,0,27,5,2012,2,2012-02-01,26.549,23.297,2.096,0.30377,491.13,27.485,29.923,29.149,29.64,29.255,27.929,26.867,27.035,26.616,25.965,25.978,25.852,22.956,21.477,22.168,21.883,22.501,23.286,23.523,24.076,24.9,24.528,24.304,24.05,2.0683,2.65,2.3215,2.3207,2.2889,2.0728,1.8927,1.9929,1.7665,1.7745,1.8727,1.9486,0.26706,0.21709,0.24334,0.22267,0.24997,0.28785,0.32176,0.32748,0.35877,0.36572,0.3579,0.35676,409.01,161.4,168.96,248.46,94.524,189.26,152.31,98.758,326.23,381.49,538.52,573.15,,,
5245,0,27,5,2012,3,2012-03-01,26.234,24.13,2.2271,0.34166,462.94,26.549,27.485,29.923,29.149,29.64,29.255,27.929,26.867,27.035,26.616,25.965,25.978,23.297,22.956,21.477,22.168,21.883,22.501,23.286,23.523,24.076,24.9,24.528,24.304,2.096,2.0683,2.65,2.3215,2.3207,2.2889,2.0728,1.8927,1.9929,1.7665,1.7745,1.8727,0.30377,0.26706,0.21709,0.24334,0.22267,0.24997,0.28785,0.32176,0.32748,0.35877,0.36572,0.3579,491.13,409.01,161.4,168.96,248.46,94.524,189.26,152.31,98.758,326.23,381.49,538.52,,,
5246,0,27,5,2012,4,2012-04-01,26.94,24.543,2.1819,0.33714,355.9,26.234,26.549,27.485,29.923,29.149,29.64,29.255,27.929,26.867,27.035,26.616,25.965,24.13,23.297,22.956,21.477,22.168,21.883,22.501,23.286,23.523,24.076,24.9,24.528,2.2271,2.096,2.0683,2.65,2.3215,2.3207,2.2889,2.0728,1.8927,1.9929,1.7665,1.7745,0.34166,0.30377,0.26706,0.21709,0.24334,0.22267,0.24997,0.28785,0.32176,0.32748,0.35877,0.36572,462.94,491.13,409.01,161.4,168.96,248.46,94.524,189.26,152.31,98.758,326.23,381.49,,,
5247,0,27,5,2012,5,2012-05-01,27.329,24.05,2.227,0.32305,228.67,26.94,26.234,26.549,27.485,29.923,29.149,29.64,29.255,27.929,26.867,27.035,26.616,24.543,24.13,23.297,22.956,21.477,22.168,21.883,22.501,23.286,23.523,24.076,24.9,2.1819,2.2271,2.096,2.0683,2.65,2.3215,2.3207,2.2889,2.0728,1.8927,1.9929,1.7665,0.33714,0.34166,0.30377,0.26706,0.21709,0.24334,0.22267,0.24997,0.28785,0.32176,0.32748,0.35877,355.9,462.94,491.13,409.01,161.4,168.96,248.46,94.524,189.26,152.31,98.758,326.23,,,
5248,0,27,5,2012,6,2012-06-01,27.131,23.789,2.1344,0.30872,121.49,27.329,26.94,26.234,26.549,27.485,29.923,29.149,29.64,29.255,27.929,26.867,27.035,24.05,24.543,24.13,23.297,22.956,21.477,22.168,21.883,22.501,23.286,23.523,24.076,2.227,2.1819,2.2271,2.096,2.0683,2.65,2.3215,2.3207,2.2889,2.0728,1.8927,1.9929,0.32305,0.33714,0.34166,0.30377,0.26706,0.21709,0.24334,0.22267,0.24997,0.28785,0.32176,0.32748,228.67,355.9,462.94,491.13,409.01,161.4,168.96,248.46,94.524,189.26,152.31,98.758,,,
5249,0,27,5,2012,7,2012-07-01,26.892,24.327,1.9268,0.33259,113.03,27.131,27.329,26.94,26.234,26.549,27.485,29.923,29.149,29.64,29.255,27.929,26.867,23.789,24.05,24.543,24.13,23.297,22.956,21.477,22.168,21.883,22.501,23.286,23.523,2.1344,2.227,2.1819,2.2271,2.096,2.0683,2.65,2.3215,2.3207,2.2889,2.0728,1.8927,0.30872,0.32305,0.33714,0.34166,0.30377,0.26706,0.21709,0.24334,0.22267,0.24997,0.28785,0.32176,121.49,228.67,355.9,462.94,491.13,409.01,161.4,168.96,248.46,94.524,189.26,152.31,,,
5250,0,27,5,2012,8,2012-08-01,27.277,23.321,2.0522,0.30337,66.048,26.892,27.131,27.329,26.94,26.234,26.549,27.485,29.923,29.149,29.64,29.255,27.929,24.327,23.789,24.05,24.543,24.13,23.297,22.956,21.477,22.168,21.883,22.501,23.286,1.9268,2.1344,2.227,2.1819,2.2271,2.096,2.0683,2.65,2.3215,2.3207,2.2889,2.0728,0.33259,0.30872,0.32305,0.33714,0.34166,0.30377,0.26706,0.21709,0.24334,0.22267,0.24997,0.28785,113.03,121.49,228.67,355.9,462.94,491.13,409.01,161.4,168.96,248.46,94.524,189.26,,,
5251,0,27,5,2012,9,2012-09-01,28.32,22.013,2.4741,0.2499,68.715,27.277,26.892,27.131,27.329,26.94,26.234,26.549,27.485,29.923,29.149,29.64,29.255,23.321,24.327,23.789,24.05,24.543,24.13,23.297,22.956,21.477,22.168,21.883,22.501,2.0522,1.9268,2.1344,2.227,2.1819,2.2271,2.096,2.0683,2.65,2.3215,2.3207,2.2889,0.30337,0.33259,0.30872,0.32305,0.33714,0.34166,0.30377,0.26706,0.21709,0.24334,0.22267,0.24997,66.048,113.03,121.49,228.67,355.9,462.94,491.13,409.01,161.4,168.96,248.46,94.524,,,
5252,0,27,5,2012,10,2012-10-01,29.649,21.068,2.5434,0.20588,81.293,28.32,27.277,26.892,27.131,27.329,26.94,26.234,26.549,27.485,29.923,29.149,29.64,22.013,23.321,24.327,23.789,24.05,24.543,24.13,23.297,22.956,21.477,22.168,21.883,2.4741,2.0522,1.9268,2.1344,2.227,2.1819,2.2271,2.096,2.0683,2.65,2.3215,2.3207,0.2499,0.30337,0.33259,0.30872,0.32305,0.33714,0.34166,0.30377,0.26706,0.21709,0.24334,0.22267,68.715,66.048,113.03,121.49,228.67,355.9,462.94,491.13,409.01,161.4,168.96,248.46,,,
