month,year,temperature,dewpoint,windspeed,Soilwater_L1,Precipitation,field,temperature_b1,temperature_b2,temperature_b3,temperature_b4,temperature_b5,temperature_b6,temperature_b7,temperature_b8,temperature_b9,temperature_b10,temperature_b11,temperature_b12,dewpoint_b1,dewpoint_b2,dewpoint_b3,dewpoint_b4,dewpoint_b5,dewpoint_b6,dewpoint_b7,dewpoint_b8,dewpoint_b9,dewpoint_b10,dewpoint_b11,dewpoint_b12,windspeed_b1,windspeed_b2,windspeed_b3,windspeed_b4,windspeed_b5,windspeed_b6,windspeed_b7,windspeed_b8,windspeed_b9,windspeed_b10,windspeed_b11,windspeed_b12,Soilwater_L1_b1,Soilwater_L1_b2,Soilwater_L1_b3,Soilwater_L1_b4,Soilwater_L1_b5,Soilwater_L1_b6,Soilwater_L1_b7,Soilwater_L1_b8,Soilwater_L1_b9,Soilwater_L1_b10,Soilwater_L1_b11,Soilwater_L1_b12,Precipitation_b1,Precipitation_b2,Precipitation_b3,Precipitation_b4,Precipitation_b5,Precipitation_b6,Precipitation_b7,Precipitation_b8,Precipitation_b9,Precipitation_b10,Precipitation_b11,Precipitation_b12,Soilwater_L2,Soilwater_L3,Soilwater_L4,Id,age,type,production,date
1,2006,26.595,24.74,1.9897,0.34587,341.51,0,26.85,28.476,28.3,28.79,27.941,27.091,26.848,26.397,26.643,26.355,26.578,27.286,24.272,23.576,23.321,22.541,23.314,23.823,24.529,24.952,24.8,24.69,24.765,24.269,1.6893,2.3375,2.4174,2.4467,2.0252,1.6948,1.8646,1.7458,1.8473,1.8963,2.0914,2.0396,0.31668,0.26755,0.26832,0.2437,0.28272,0.32078,0.34158,0.35231,0.3463,0.34691,0.33256,0.30134,333.23,72.605,122.34,41.403,96.237,74.006,101.77,316.81,404.49,376.8,446.28,212.56,,,,24.0,21.0,5.0,0.121453957996769,2006-01-01
2,2006,26.204,24.626,2.1281,0.35104,309.01,0,26.595,26.85,28.476,28.3,28.79,27.941,27.091,26.848,26.397,26.643,26.355,26.578,24.74,24.272,23.576,23.321,22.541,23.314,23.823,24.529,24.952,24.8,24.69,24.765,1.9897,1.6893,2.3375,2.4174,2.4467,2.0252,1.6948,1.8646,1.7458,1.8473,1.8963,2.0914,0.34587,0.31668,0.26755,0.26832,0.2437,0.28272,0.32078,0.34158,0.35231,0.3463,0.34691,0.33256,341.51,333.23,72.605,122.34,41.403,96.237,74.006,101.77,316.81,404.49,376.8,446.28,,,,25.0,21.0,5.0,0.0738287560581583,2006-02-01
3,2006,26.019,24.734,2.176,0.361,452.42,0,26.204,26.595,26.85,28.476,28.3,28.79,27.941,27.091,26.848,26.397,26.643,26.355,24.626,24.74,24.272,23.576,23.321,22.541,23.314,23.823,24.529,24.952,24.8,24.69,2.1281,1.9897,1.6893,2.3375,2.4174,2.4467,2.0252,1.6948,1.8646,1.7458,1.8473,1.8963,0.35104,0.34587,0.31668,0.26755,0.26832,0.2437,0.28272,0.32078,0.34158,0.35231,0.3463,0.34691,309.01,341.51,333.23,72.605,122.34,41.403,96.237,74.006,101.77,316.81,404.49,376.8,,,,26.0,21.0,5.0,0.0531825525040387,2006-03-01
4,2006,25.978,24.882,1.5105,0.36575,516.34,0,26.019,26.204,26.595,26.85,28.476,28.3,28.79,27.941,27.091,26.848,26.397,26.643,24.734,24.626,24.74,24.272,23.576,23.321,22.541,23.314,23.823,24.529,24.952,24.8,2.176,2.1281,1.9897,1.6893,2.3375,2.4174,2.4467,2.0252,1.6948,1.8646,1.7458,1.8473,0.361,0.35104,0.34587,0.31668,0.26755,0.26832,0.2437,0.28272,0.32078,0.34158,0.35231,0.3463,452.42,309.01,341.51,333.23,72.605,122.34,41.403,96.237,74.006,101.77,316.81,404.49,,,,27.0,21.0,5.0,0.0312071082390953,2006-04-01
5,2006,26.171,24.843,1.6832,0.36109,349.06,0,25.978,26.019,26.204,26.595,26.85,28.476,28.3,28.79,27.941,27.091,26.848,26.397,24.882,24.734,24.626,24.74,24.272,23.576,23.321,22.541,23.314,23.823,24.529,24.952,1.5105,2.176,2.1281,1.9897,1.6893,2.3375,2.4174,2.4467,2.0252,1.6948,1.8646,1.7458,0.36575,0.361,0.35104,0.34587,0.31668,0.26755,0.26832,0.2437,0.28272,0.32078,0.34158,0.35231,516.34,452.42,309.01,341.51,333.23,72.605,122.34,41.403,96.237,74.006,101.77,316.81,,,,28.0,21.0,5.0,0.0678513731825525,2006-05-01
6,2006,26.598,24.204,1.6346,0.34246,94.03,0,26.171,25.978,26.019,26.204,26.595,26.85,28.476,28.3,28.79,27.941,27.091,26.848,24.843,24.882,24.734,24.626,24.74,24.272,23.576,23.321,22.541,23.314,23.823,24.529,1.6832,1.5105,2.176,2.1281,1.9897,1.6893,2.3375,2.4174,2.4467,2.0252,1.6948,1.8646,0.36109,0.36575,0.361,0.35104,0.34587,0.31668,0.26755,0.26832,0.2437,0.28272,0.32078,0.34158,349.06,516.34,452.42,309.01,341.51,333.23,72.605,122.34,41.403,96.237,74.006,101.77,,,,29.0,21.0,5.0,0.038513731825525,2006-06-01
7,2006,27.156,24.049,1.8849,0.3193,111.16,0,26.598,26.171,25.978,26.019,26.204,26.595,26.85,28.476,28.3,28.79,27.941,27.091,24.204,24.843,24.882,24.734,24.626,24.74,24.272,23.576,23.321,22.541,23.314,23.823,1.6346,1.6832,1.5105,2.176,2.1281,1.9897,1.6893,2.3375,2.4174,2.4467,2.0252,1.6948,0.34246,0.36109,0.36575,0.361,0.35104,0.34587,0.31668,0.26755,0.26832,0.2437,0.28272,0.32078,94.03,349.06,516.34,452.42,309.01,341.51,333.23,72.605,122.34,41.403,96.237,74.006,,,,30.0,21.0,5.0,0.0864620355411954,2006-07-01
8,2006,27.636,23.897,2.0829,0.30444,120.66,0,27.156,26.598,26.171,25.978,26.019,26.204,26.595,26.85,28.476,28.3,28.79,27.941,24.049,24.204,24.843,24.882,24.734,24.626,24.74,24.272,23.576,23.321,22.541,23.314,1.8849,1.6346,1.6832,1.5105,2.176,2.1281,1.9897,1.6893,2.3375,2.4174,2.4467,2.0252,0.3193,0.34246,0.36109,0.36575,0.361,0.35104,0.34587,0.31668,0.26755,0.26832,0.2437,0.28272,111.16,94.03,349.06,516.34,452.42,309.01,341.51,333.23,72.605,122.34,41.403,96.237,,,,31.0,21.0,5.0,0.134281098546042,2006-08-01
9,2006,28.251,23.334,2.2166,0.27897,129.82,0,27.636,27.156,26.598,26.171,25.978,26.019,26.204,26.595,26.85,28.476,28.3,28.79,23.897,24.049,24.204,24.843,24.882,24.734,24.626,24.74,24.272,23.576,23.321,22.541,2.0829,1.8849,1.6346,1.6832,1.5105,2.176,2.1281,1.9897,1.6893,2.3375,2.4174,2.4467,0.30444,0.3193,0.34246,0.36109,0.36575,0.361,0.35104,0.34587,0.31668,0.26755,0.26832,0.2437,120.66,111.16,94.03,349.06,516.34,452.42,309.01,341.51,333.23,72.605,122.34,41.403,,,,32.0,21.0,5.0,0.199903069466882,2006-09-01
10,2006,29.143,22.787,2.4335,0.2477,127.15,0,28.251,27.636,27.156,26.598,26.171,25.978,26.019,26.204,26.595,26.85,28.476,28.3,23.334,23.897,24.049,24.204,24.843,24.882,24.734,24.626,24.74,24.272,23.576,23.321,2.2166,2.0829,1.8849,1.6346,1.6832,1.5105,2.176,2.1281,1.9897,1.6893,2.3375,2.4174,0.27897,0.30444,0.3193,0.34246,0.36109,0.36575,0.361,0.35104,0.34587,0.31668,0.26755,0.26832,129.82,120.66,111.16,94.03,349.06,516.34,452.42,309.01,341.51,333.23,72.605,122.34,,,,33.0,21.0,5.0,0.4635218093699517,2006-10-01
11,2006,28.427,23.159,2.1827,0.26171,144.26,0,29.143,28.251,27.636,27.156,26.598,26.171,25.978,26.019,26.204,26.595,26.85,28.476,22.787,23.334,23.897,24.049,24.204,24.843,24.882,24.734,24.626,24.74,24.272,23.576,2.4335,2.2166,2.0829,1.8849,1.6346,1.6832,1.5105,2.176,2.1281,1.9897,1.6893,2.3375,0.2477,0.27897,0.30444,0.3193,0.34246,0.36109,0.36575,0.361,0.35104,0.34587,0.31668,0.26755,127.15,129.82,120.66,111.16,94.03,349.06,516.34,452.42,309.01,341.51,333.23,72.605,,,,34.0,21.0,5.0,0.2226494345718901,2006-11-01
12,2006,28.852,22.782,2.41,0.24324,239.74,0,28.427,29.143,28.251,27.636,27.156,26.598,26.171,25.978,26.019,26.204,26.595,26.85,23.159,22.787,23.334,23.897,24.049,24.204,24.843,24.882,24.734,24.626,24.74,24.272,2.1827,2.4335,2.2166,2.0829,1.8849,1.6346,1.6832,1.5105,2.176,2.1281,1.9897,1.6893,0.26171,0.2477,0.27897,0.30444,0.3193,0.34246,0.36109,0.36575,0.361,0.35104,0.34587,0.31668,144.26,127.15,129.82,120.66,111.16,94.03,349.06,516.34,452.42,309.01,341.51,333.23,,,,35.0,21.0,5.0,0.162843295638126,2006-12-01
1,2007,29.083,23.677,2.4876,0.25329,161.52,0,28.852,28.427,29.143,28.251,27.636,27.156,26.598,26.171,25.978,26.019,26.204,26.595,22.782,23.159,22.787,23.334,23.897,24.049,24.204,24.843,24.882,24.734,24.626,24.74,2.41,2.1827,2.4335,2.2166,2.0829,1.8849,1.6346,1.6832,1.5105,2.176,2.1281,1.9897,0.24324,0.26171,0.2477,0.27897,0.30444,0.3193,0.34246,0.36109,0.36575,0.361,0.35104,0.34587,239.74,144.26,127.15,129.82,120.66,111.16,94.03,349.06,516.34,452.42,309.01,341.51,,,,36.0,22.0,5.0,0.1852019386106624,2007-01-01
2,2007,26.198,24.294,2.2544,0.32402,543.37,0,29.083,28.852,28.427,29.143,28.251,27.636,27.156,26.598,26.171,25.978,26.019,26.204,23.677,22.782,23.159,22.787,23.334,23.897,24.049,24.204,24.843,24.882,24.734,24.626,2.4876,2.41,2.1827,2.4335,2.2166,2.0829,1.8849,1.6346,1.6832,1.5105,2.176,2.1281,0.25329,0.24324,0.26171,0.2477,0.27897,0.30444,0.3193,0.34246,0.36109,0.36575,0.361,0.35104,161.52,239.74,144.26,127.15,129.82,120.66,111.16,94.03,349.06,516.34,452.42,309.01,,,,37.0,22.0,5.0,0.0718255250403877,2007-02-01
3,2007,26.147,24.591,1.9766,0.35022,527.69,0,26.198,29.083,28.852,28.427,29.143,28.251,27.636,27.156,26.598,26.171,25.978,26.019,24.294,23.677,22.782,23.159,22.787,23.334,23.897,24.049,24.204,24.843,24.882,24.734,2.2544,2.4876,2.41,2.1827,2.4335,2.2166,2.0829,1.8849,1.6346,1.6832,1.5105,2.176,0.32402,0.25329,0.24324,0.26171,0.2477,0.27897,0.30444,0.3193,0.34246,0.36109,0.36575,0.361,543.37,161.52,239.74,144.26,127.15,129.82,120.66,111.16,94.03,349.06,516.34,452.42,,,,38.0,22.0,5.0,0.0394184168012924,2007-03-01
